TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 3586856.65443,Top
179,4728084.34425,304.279253969,961363.5625,13336.7019353,3956,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][10981-2][19056-2][19057-2];4728084.34425,[5314-2][9179-2][10981-2][19046-2][19048-2][19056-2];4657650.64529,[5314-2][9179-2][9601-2][10981-2][19053-2][19056-2];4502244.94721
270,4759056.11239,461.35307272,1560948.75,16951.1857859,3770,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][10981-2][19046-2][19056-2];4759056.11239,[5314-2][9179-2][9601-2][10981-2][19056-2][19057-2];4728084.34425,[4259-2][5314-2][9179-2][14825-2][19042-2][19053-2];4689565.33504
359,4759056.11239,383.334067172,2009302.25,18344.2881598,3514,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][10981-2][19046-2][19056-2];4759056.11239,[5314-2][9179-2][9601-2][10981-2][19056-2][19057-2];4728084.34425,[4259-2][5314-2][9179-2][14825-2][19042-2][19053-2];4689565.33504
448,4890787.54909,9079.72612013,2244740,18835.1941529,3381,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][10981-2][19048-2][19049-2][19056-2];4890787.54909,[5314-2][9179-2][9601-2][10981-2][19046-2][19056-2];4759056.11239,[5314-2][9179-2][9601-2][10981-2][19056-2][19057-2];4728084.34425
536,4890787.54909,9170.29390512,2373359,19674.3946316,3304,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][10981-2][19048-2][19049-2][19056-2];4890787.54909,[5314-2][9179-2][9601-2][10981-2][19046-2][19056-2];4759056.11239,[5314-2][9179-2][9601-2][10981-2][19056-2][19057-2];4728084.34425
622,5715981.73746,845.808820599,2469412.5,19973.9895625,3180,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[5314-2][6383-2][9179-2][14825-2][19042-2][19053-2];4978259.0359,[5314-2][9179-2][10981-2][19048-2][19049-2][19056-2];4890787.54909
711,5715981.73746,9132.07811466,2546764.25,20119.4985411,3115,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[5314-2][9179-2][14825-2][15346-2][19042-2][19053-2];5530872.8014,[4925-2][5314-2][9179-2][14825-2][19042-2][19053-2];5323096.13832
798,5715981.73746,9064.97704495,2594642.5,20394.2205299,3059,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[5314-2][9179-2][14825-2][15346-2][19042-2][19053-2];5530872.8014,[4925-2][5314-2][9179-2][14825-2][19042-2][19053-2];5323096.13832
884,5715981.73746,9040.0251758,2652300,20516.5908336,2996,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[695-2][5314-2][9179-2][14825-2][19042-2][19053-2];5551547.7562,[5314-2][9179-2][14825-2][15346-2][19042-2][19053-2];5530872.8014
971,5715981.73746,968.229423258,2673434.5,20953.2762458,2944,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][9179-2][9601-2][14825-2][19042-2][19053-2];5715981.73746,[695-2][5314-2][9179-2][14825-2][19042-2][19053-2];5551547.7562,[5314-2][9179-2][14825-2][15346-2][19042-2][19053-2];5530872.8014
