TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 3586856.65443,Top
5129,6002720.39158,2165.36072236,2557587,22468.2359316,3423,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][8765-2][9179-2][14825-2][14831-2][19042-2][19086-2];6002720.39158,[4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5844199.91608,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417
5272,6002720.39158,330.653754758,2010280.75,28134.4083657,3554,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][8765-2][9179-2][14825-2][14831-2][19042-2][19086-2];6002720.39158,[4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5844199.91608,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417
5360,6002720.39158,1227.05897361,2847981,22413.6669893,2958,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][8765-2][9179-2][14825-2][14831-2][19042-2][19086-2];6002720.39158,[4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5844199.91608,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417
5449,6002720.39158,2328.80272711,2728659,22735.5578874,3139,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][8765-2][9179-2][14825-2][14831-2][19042-2][19086-2];6002720.39158,[4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5844199.91608,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417
5537,6002720.39158,2328.80272711,2665251.75,22770.7671379,3251,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][8765-2][9179-2][14825-2][14831-2][19042-2][19086-2];6002720.39158,[4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5844199.91608,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417
5626,6002720.39158,2378.42006469,2615311,22895.7376223,3313,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][8765-2][9179-2][14825-2][14831-2][19042-2][19086-2];6002720.39158,[4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5844199.91608,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417
5715,6002720.39158,9568.63751495,2611737,22889.5242108,3320,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][8765-2][9179-2][14825-2][14831-2][19042-2][19086-2];6002720.39158,[4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5844199.91608,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417
5857,6002720.39158,312.216356689,2024386.375,28395.4883831,3535,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][8765-2][9179-2][14825-2][14831-2][19042-2][19086-2];6002720.39158,[4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5844199.91608,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417
5946,6002720.39158,312.216356689,2839344.25,22838.5838744,2965,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][8765-2][9179-2][14825-2][14831-2][19042-2][19086-2];6002720.39158,[4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5844199.91608,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417
6036,6002720.39158,312.216356689,2701193.75,23069.3727683,3157,-1[5314-2][9179-2][10981-2][14825-2][19056-2];3586856.65443,[5314-2][8765-2][9179-2][14825-2][14831-2][19042-2][19086-2];6002720.39158,[4925-2][5314-2][5475-2][9179-2][14825-2][19042-2][19086-2];5844199.91608,[5314-2][5475-2][9179-2][14825-2][14831-2][19042-2][19086-2];5820296.86417
