TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 1174,Top
442,1317,-1.66666660044,816.13684082,6.86729594925,710,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
474,1317,3.59999990463,827.741271973,6.94753387083,715,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
527,1317,-4.99999992549,603.919433594,8.77992314198,2634,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
33,1129,-4,22.9774246216,0.887181507186,4464,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129,[9179-2][10981-2][14823-2][14825-2][19051-2][19056-2];746,[5314-2][9179-2][14823-2][14824-2][14825-2][19056-2];579
65,1317,-2.99999991059,114.468299866,2.29175215796,3334,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129,[5314-2][9179-2][14825-2][19051-2][19054-2][19056-2];1082
97,1317,-1.4999999553,237.714706421,3.38939227424,2156,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
130,1317,-2,339.109039307,4.3279256138,1649,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
162,1317,-2,433.790557861,5.1976940667,1401,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
194,1317,1.60000002384,518.323852539,5.73720178285,1214,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
226,1317,1,602.403503418,6.2199197298,1084,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
279,1317,-6.99999968708,516.240478516,7.67991487806,2641,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
311,1317,-6.99999968708,783.453613281,6.57077443929,787,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
343,1317,2,767.321289062,6.79456539584,813,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
376,1317,2,773.176879883,6.93715198423,805,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
408,1317,1.5,802.080505371,6.95674587919,761,-1[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][14823-2][14825-2][19054-2][19056-2];1317,[9179-2][10981-2][14823-2][14825-2][19054-2][19056-2];1280,[5314-2][9179-2][10981-2][19051-2][19054-2][19056-2];1129
