TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 1174,Top
2281,1888,1,1410.16040039,10.7018940583,508,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
2313,1888,2.30434775352,1426.08129883,10.5466731306,498,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
2345,1888,2.92307686806,1396.46154785,10.7341418259,508,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
2397,1888,-4.99999992549,904.42010498,13.1829937724,2646,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
2429,1888,1,1470.40563965,10.2808239926,478,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
2461,1888,-1.4285714529,1426.86645508,10.5875645785,481,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
2493,1888,1,1411.87316895,10.6724861181,484,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
32,1888,-5.99999982119,8.88749790192,0.800980868985,4603,2[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][10981-2][14823-2][14825-2];1476,[5314-2][9179-2][10981-2][14825-2][19056-2];1174
63,1888,-6.99999968708,134.909851074,4.81546970482,3794,3[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14823-2][14825-2][19056-2];1509,[5314-2][9179-2][10981-2][14823-2][14825-2];1476
96,1888,-6.99999968708,674.292724609,8.92500376386,1516,6[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
127,1888,2,925.325012207,9.14318678368,923,7[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
159,1888,-2,1026.91955566,9.2523294118,823,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
191,1888,1.66666662693,1097.1920166,9.48075489098,790,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
243,1888,-9.99999985099,820.513427734,12.1714362448,2646,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
276,1888,-1.74999992177,1288.06481934,10.0586441888,680,8[5314-2][9179-2][10981-2][14825-2][19056-2];1174,[5314-2][9179-2][10981-2][19054-2][19056-2];1888,[5314-2][9179-2][14825-2][19054-2][19056-2];1849,[9179-2][10981-2][14825-2][19054-2][19056-2];1819
