[111-2][475-2];6,[345-2][475-2];6,[216-2][534-2];6,[151-2][447-2];5,[151-2][353-2];4,[151-2][291-2];4,[325-2][347-2];3
[345-2][475-2];6,[111-2][475-2];6,[216-2][534-2];6,[151-2][447-2];5,[151-2][291-2];4,[151-2][353-2];4,[151-2][277-2];3
[111-2][475-2];6,[345-2][475-2];6,[216-2][534-2];6,[151-2][447-2];5,[151-2][353-2];4,[151-2][291-2];4,[151-2][573-2];2
[360-2][363-2];7,[363-2][455-2];6,[111-2][414-2];5,[81-2][343-2];4.5,[180-2][561-2];4,[179-2][561-2];4,[121-2][353-2];3
[360-2][363-2];7,[363-2][455-2];6,[111-2][414-2];5,[81-2][343-2];4.5,[180-2][561-2];4,[179-2][561-2];4,[153-2][363-2];3.5
[56-2][363-2];13,[360-2][363-2];7,[363-2][455-2];6,[111-2][414-2];5,[81-2][343-2];4.5,[81-2][413-2];4,[179-2][561-2];4
[56-2][363-2];13,[360-2][363-2];7,[363-2][455-2];6,[111-2][414-2];5,[81-2][343-2];4.5,[81-2][413-2];4,[180-2][561-2];4
[56-2][363-2];13,[360-2][363-2];7,[56-2][561-2];6,[363-2][455-2];6,[73-2][363-2];5.33333,[111-2][414-2];5,[81-2][343-2];4.5
[56-2][363-2];13,[360-2][363-2];7,[363-2][455-2];6,[56-2][561-2];6,[73-2][363-2];5.33333,[111-2][414-2];5,[81-2][343-2];4.5
[56-2][363-2];13,[360-2][363-2];7,[363-2][455-2];6,[56-2][561-2];6,[73-2][363-2];5.33333,[111-2][414-2];5,[81-2][343-2];4.5
[56-2][363-2];13,[360-2][363-2];7,[363-2][455-2];6,[56-2][561-2];6,[73-2][363-2];5.33333,[111-2][414-2];5,[81-2][343-2];4.5
[56-2][363-2];13,[360-2][363-2];7,[56-2][561-2];6,[363-2][455-2];6,[73-2][363-2];5.33333,[111-2][414-2];5,[180-2][561-2];4
[56-2][363-2];13,[360-2][363-2];7,[363-2][455-2];6,[56-2][561-2];6,[73-2][363-2];5.33333,[111-2][414-2];5,[153-2][363-2];3.5
[56-2][363-2];13,[360-2][363-2];7,[363-2][455-2];6,[56-2][561-2];6,[73-2][363-2];5.33333,[111-2][414-2];5,[363-2][562-2];3.5
[56-2][363-2];13,[360-2][363-2];7,[363-2][455-2];6,[56-2][561-2];6,[73-2][363-2];5.33333,[111-2][414-2];5,[153-2][363-2];3.5
[56-2][363-2];13,[360-2][363-2];7,[363-2][455-2];6,[56-2][561-2];6,[73-2][363-2];5.33333,[111-2][414-2];5,[311-2][363-2];4
[56-2][363-2];13,[360-2][363-2];7,[56-2][561-2];6,[363-2][455-2];6,[73-2][363-2];5.33333,[111-2][414-2];5,[363-2][387-2];2.42857
[56-2][363-2];13,[360-2][363-2];7,[363-2][455-2];6,[56-2][561-2];6,[73-2][363-2];5.33333,[111-2][414-2];5,[363-2][502-2];2.66667
[363-2][455-2];6,[111-2][414-2];5,[81-2][343-2];4.5,[61-2][380-2];4,[180-2][561-2];4,[72-2][237-2];3,[121-2][353-2];3
[363-2][455-2];6,[111-2][414-2];5,[81-2][343-2];4.5,[175-2][259-2];4,[14-2][237-2];4,[180-2][561-2];4,[61-2][380-2];4
[363-2][455-2];6,[111-2][414-2];5,[259-2][266-2];5,[81-2][343-2];4.5,[180-2][561-2];4,[175-2][259-2];4,[14-2][237-2];4
[363-2][455-2];6,[48-2][359-2];5,[259-2][266-2];5,[111-2][414-2];5,[81-2][343-2];4.5,[14-2][237-2];4,[175-2][259-2];4
