TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 5251.98097041,Top
7,4515.63738848,90.515229667,1195.06567383,19.0592323913,647,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][371-2][429-2][494-2][521-2];4515.63738848,[148-2][264-2][267-2][296-2][320-2][432-2];3373.99393851,[197-2][264-2][320-2][330-2][433-2][563-2];3236.14829501
7,4515.63738848,87.5981353484,1262.8236084,20.8484464595,639,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][371-2][429-2][494-2][521-2];4515.63738848,[237-2][264-2][320-2][371-2][494-2][521-2];3583.41218043,[264-2][320-2][330-2][371-2][494-2][561-2];3453.89353917
7,4515.63738848,67.8430775775,1383.60400391,25.7138766414,609,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][371-2][429-2][494-2][521-2];4515.63738848,[264-2][320-2][371-2][440-2][494-2][521-2];4179.20564827,[118-2][264-2][320-2][371-2][521-2][563-2];3984.66905226
7,4515.63738848,39.0374463157,1500.97033691,16.519413184,615,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][371-2][429-2][494-2][521-2];4515.63738848,[264-2][320-2][371-2][440-2][494-2][521-2];4179.20564827,[118-2][264-2][320-2][371-2][521-2][563-2];3984.66905226
7,4515.63738848,39.0374463157,1591.05578613,27.7636445295,599,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][371-2][429-2][494-2][521-2];4515.63738848,[203-2][264-2][320-2][371-2][494-2][521-2];4472.76786742,[264-2][320-2][371-2][440-2][494-2][521-2];4179.20564827
8,4515.63738848,80.8580665547,1782.4296875,32.0312267785,600,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][371-2][429-2][494-2][521-2];4515.63738848,[93-2][264-2][320-2][371-2][494-2][521-2];4515.63738848,[203-2][264-2][320-2][371-2][494-2][521-2];4472.76786742
8,5296.3460722,80.983021707,1945.89648438,34.4806034078,591,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2][371-2][429-2][521-2][563-2];5296.3460722,[93-2][264-2][320-2][371-2][521-2][563-2];5296.3460722,[188-2][264-2][320-2][429-2][494-2][521-2];4900.94319575
8,5296.3460722,61.1679925645,1990.22546387,24.530569282,585,-1[149-2][264-2][320-2];5251.98097041,[93-2][264-2][320-2][371-2][521-2][563-2];5296.3460722,[264-2][320-2][341-2][371-2][521-2][563-2];5296.3460722,[264-2][320-2][371-2][429-2][521-2][563-2];5296.3460722
8,5725.89986406,19.3222882734,2059.33178711,36.372963503,588,-1[149-2][264-2][320-2];5251.98097041,[194-2][243-2][264-2][320-2][521-2][563-2];5725.89986406,[264-2][320-2][341-2][371-2][521-2][563-2];5296.3460722,[93-2][264-2][320-2][371-2][521-2][563-2];5296.3460722
8,5725.89986406,51.326332199,2245.73901367,25.6840289101,567,-1[149-2][264-2][320-2];5251.98097041,[194-2][243-2][264-2][320-2][521-2][563-2];5725.89986406,[264-2][320-2][341-2][371-2][521-2][563-2];5296.3460722,[93-2][264-2][320-2][371-2][521-2][563-2];5296.3460722
