[149-2][264-2][320-2];5251.98,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[37-2][264-2][320-2];2820.52,[264-2][320-2][381-2];2798.84,[264-2][320-2][480-2];2681.57,[83-2][264-2][320-2];2640.41,[264-2][320-2][412-2];2639.07,[147-2][264-2][320-2];2631.94,[264-2][320-2][576-2];2575.93
[149-2][264-2][320-2];5251.98,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[37-2][264-2][320-2];2820.52,[264-2][320-2][381-2];2798.84,[264-2][320-2][480-2];2681.57,[83-2][264-2][320-2];2640.41,[264-2][320-2][412-2];2639.07,[147-2][264-2][320-2];2631.94,[264-2][320-2][576-2];2575.93
[149-2][264-2][320-2];5251.98,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[37-2][264-2][320-2];2820.52,[264-2][320-2][381-2];2798.84,[264-2][320-2][480-2];2681.57,[83-2][264-2][320-2];2640.41,[264-2][320-2][412-2];2639.07,[147-2][264-2][320-2];2631.94,[264-2][320-2][576-2];2575.93
[149-2][264-2][320-2];5251.98,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[37-2][264-2][320-2];2820.52,[264-2][320-2][381-2];2798.84,[264-2][320-2][480-2];2681.57,[83-2][264-2][320-2];2640.41,[264-2][320-2][412-2];2639.07,[147-2][264-2][320-2];2631.94,[264-2][320-2][576-2];2575.93
[149-2][264-2][320-2];5251.98,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[37-2][264-2][320-2];2820.52,[264-2][320-2][381-2];2798.84,[264-2][320-2][480-2];2681.57,[83-2][264-2][320-2];2640.41,[264-2][320-2][412-2];2639.07,[147-2][264-2][320-2];2631.94,[264-2][320-2][576-2];2575.93
[149-2][264-2][320-2];5251.98,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[37-2][264-2][320-2];2820.52,[264-2][320-2][381-2];2798.84,[264-2][320-2][480-2];2681.57,[83-2][264-2][320-2];2640.41,[264-2][320-2][412-2];2639.07,[147-2][264-2][320-2];2631.94,[264-2][320-2][576-2];2575.93
[149-2][264-2][320-2];5251.98,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[37-2][264-2][320-2];2820.52,[264-2][320-2][381-2];2798.84,[264-2][320-2][480-2];2681.57,[83-2][264-2][320-2];2640.41,[264-2][320-2][412-2];2639.07,[147-2][264-2][320-2];2631.94,[264-2][320-2][576-2];2575.93
[149-2][264-2][320-2];5251.98,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[37-2][264-2][320-2];2820.52,[264-2][320-2][381-2];2798.84,[264-2][320-2][480-2];2681.57,[83-2][264-2][320-2];2640.41,[264-2][320-2][412-2];2639.07,[147-2][264-2][320-2];2631.94,[264-2][320-2][576-2];2575.93
[149-2][264-2][320-2];5251.98,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[37-2][264-2][320-2];2820.52,[264-2][320-2][381-2];2798.84,[264-2][320-2][480-2];2681.57,[83-2][264-2][320-2];2640.41,[264-2][320-2][412-2];2639.07,[147-2][264-2][320-2];2631.94,[264-2][320-2][576-2];2575.93
[149-2][264-2][320-2];5251.98,[195-2][264-2][320-2];3355.52,[56-2][264-2][320-2];3282.69,[37-2][264-2][320-2];2820.52,[264-2][320-2][381-2];2798.84,[264-2][320-2][480-2];2681.57,[83-2][264-2][320-2];2640.41,[264-2][320-2][412-2];2639.07,[147-2][264-2][320-2];2631.94,[264-2][320-2][576-2];2575.93
[264-2][320-2][537-2];1881.37,[221-2][264-2][416-2];170.055,[221-2][264-2][435-2];157.272,[221-2][264-2][439-2];157.249,[58-2][217-2][264-2];143.63,[221-2][264-2][364-2];129.633,[11-2][264-2][416-2];126.702,[223-2][264-2][537-2];124.501,[320-2][328-2][538-2];122.6,[284-2][363-2][416-2];121.738
[264-2][320-2][544-2];2631.73,[264-2][320-2][537-2];1881.37,[264-2][320-2][490-2];1752.99,[264-2][320-2][526-2];1556.75,[264-2][320-2][509-2];1547.17,[264-2][320-2][373-2];1472.37,[264-2][320-2][435-2];1362.51,[17-2][233-2][264-2];192.46,[61-2][264-2][573-2];188.782,[90-2][264-2][306-2];174.946
[264-2][320-2][544-2];2631.73,[264-2][320-2][573-2];2132.43,[264-2][320-2][537-2];1881.37,[229-2][264-2][320-2];1833.9,[264-2][293-2][320-2];1759.58,[258-2][264-2][320-2];1752.99,[264-2][320-2][490-2];1752.99,[4-2][264-2][320-2];1752.99,[264-2][292-2][320-2];1752.99,[241-2][264-2][320-2];1713.51
[264-2][320-2][515-2];2998.01,[264-2][320-2][381-2];2798.84,[264-2][320-2][544-2];2631.73,[264-2][320-2][573-2];2132.43,[264-2][320-2][482-2];2131.78,[264-2][320-2][537-2];1881.37,[229-2][264-2][320-2];1833.9,[264-2][320-2][545-2];1804,[264-2][293-2][320-2];1759.58,[258-2][264-2][320-2];1752.99
[264-2][320-2][515-2];2998.01,[264-2][320-2][381-2];2798.84,[264-2][320-2][544-2];2631.73,[264-2][320-2][556-2];2177.22,[264-2][320-2][573-2];2132.43,[264-2][320-2][482-2];2131.78,[264-2][320-2][460-2];2103.2,[264-2][320-2][354-2];2065.08,[264-2][320-2][537-2];1881.37,[229-2][264-2][320-2];1833.9
[264-2][279-2][320-2];3003.86,[264-2][320-2][515-2];2998.01,[264-2][320-2][381-2];2798.84,[264-2][320-2][544-2];2631.73,[264-2][320-2][556-2];2177.22,[264-2][320-2][573-2];2132.43,[264-2][320-2][482-2];2131.78,[264-2][320-2][460-2];2103.2,[264-2][320-2][354-2];2065.08,[264-2][320-2][516-2];1941.71
[264-2][279-2][320-2];3003.86,[264-2][320-2][515-2];2998.01,[264-2][320-2][381-2];2798.84,[264-2][320-2][412-2];2639.07,[264-2][320-2][544-2];2631.73,[264-2][320-2][556-2];2177.22,[264-2][320-2][573-2];2132.43,[264-2][320-2][482-2];2131.78,[264-2][320-2][460-2];2103.2,[264-2][320-2][354-2];2065.08
[56-2][264-2][320-2];3282.69,[264-2][279-2][320-2];3003.86,[264-2][320-2][515-2];2998.01,[264-2][320-2][381-2];2798.84,[264-2][320-2][412-2];2639.07,[264-2][320-2][544-2];2631.73,[264-2][320-2][556-2];2177.22,[264-2][320-2][573-2];2132.43,[264-2][320-2][482-2];2131.78,[264-2][320-2][460-2];2103.2
