TimeElapsed, Max, Min, Mean, Std, Number of items., Selected: 5251.98,Top
0,1752.98632505,14.4356486978,1491.5255127,20.1055135328,32,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][325-2];143.301283627
0,1752.98632505,21.1702655368,1564.12402344,19.894165995,26,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][325-2];143.301283627
0,1752.98632505,0,847.01373291,45.812031934,120,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][325-2];143.301283627
0,1752.98632505,9.10608049865,1535.92553711,24.1342551532,27,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][325-2];143.301283627
0,1752.98632505,69.7369854091,1579.72265625,18.8396980764,21,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][325-2];143.301283627
0,1752.98632505,62.8196911272,1544.24499512,18.6761527293,25,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][325-2];143.301283627
0,1752.98632505,9.73713430865,1492.25793457,19.7180077927,35,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][325-2];143.301283627
0,1752.98632505,10.2853727439,1534.49121094,31.8159499219,29,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][325-2];143.301283627
0,1752.98632505,28.2920396328,1593.71533203,21.0396473726,22,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][325-2];143.301283627
0,1752.98632505,62.8196911272,1564.61987305,23.116841574,26,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[149-2][320-2];154.238904487,[264-2][325-2];143.301283627
0,1752.98632505,5.43643821506,1594.52661133,18.1940234381,21,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[82-2][264-2];168.64124124,[149-2][320-2];154.238904487
0,1752.98632505,5.43643821506,1557.7532959,17.1203063862,24,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[82-2][264-2];168.64124124,[149-2][320-2];154.238904487
0,1752.98632505,0,1499.75976563,17.0599473071,30,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[82-2][264-2];168.64124124,[149-2][320-2];154.238904487
0,1752.98632505,62.8196911272,1536.07067871,27.5201016662,30,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[82-2][264-2];168.64124124,[149-2][320-2];154.238904487
0,1752.98632505,15.5083058984,1594.26953125,17.7500333601,22,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[82-2][264-2];168.64124124,[149-2][320-2];154.238904487
1,1752.98632505,62.8196911272,1543.30004883,18.090976133,29,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[82-2][264-2];168.64124124,[149-2][320-2];154.238904487
1,1752.98632505,62.8196911272,1557.95300293,18.745302638,27,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[82-2][264-2];168.64124124,[149-2][320-2];154.238904487
1,1752.98632505,9.45131768562,1528.38208008,24.3323322547,29,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[82-2][264-2];168.64124124,[149-2][320-2];154.238904487
1,1752.98632505,62.8196911272,1543.84533691,24.1636531123,28,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[82-2][264-2];168.64124124,[149-2][320-2];154.238904487
1,1752.98632505,62.8196911272,1565.69787598,26.8537961135,23,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[82-2][264-2];168.64124124,[149-2][320-2];154.238904487
1,1752.98632505,1.40564710094,1586.85717773,27.7722629605,23,-1[149-2][264-2][320-2];5251.98097041,[264-2][320-2];1752.98632505,[82-2][264-2];168.64124124,[149-2][320-2];154.238904487
