[149-2][320-2];154.239,[32-2][320-2];129.988,[320-2][488-2];114.379,[320-2][376-2];113.932,[121-2][320-2];106.851,[245-2][320-2];105.462,[294-2][320-2];103.257
[149-2][320-2];154.239,[32-2][320-2];129.988,[320-2][488-2];114.379,[320-2][376-2];113.932,[121-2][320-2];106.851,[245-2][320-2];105.462,[92-2][320-2];100.984
[149-2][320-2];154.239,[32-2][320-2];129.988,[320-2][488-2];114.379,[320-2][376-2];113.932,[121-2][320-2];106.851,[245-2][320-2];105.462,[92-2][320-2];100.984
[149-2][320-2];154.239,[32-2][320-2];129.988,[320-2][488-2];114.379,[320-2][376-2];113.932,[121-2][320-2];106.851,[245-2][320-2];105.462,[92-2][320-2];100.984
[149-2][320-2];154.239,[32-2][320-2];129.988,[320-2][488-2];114.379,[320-2][376-2];113.932,[121-2][320-2];106.851,[245-2][320-2];105.462,[139-2][320-2];87.7774
[149-2][320-2];154.239,[32-2][320-2];129.988,[320-2][488-2];114.379,[320-2][376-2];113.932,[121-2][320-2];106.851,[245-2][320-2];105.462,[320-2][448-2];104.726
[149-2][320-2];154.239,[32-2][320-2];129.988,[320-2][488-2];114.379,[320-2][376-2];113.932,[121-2][320-2];106.851,[245-2][320-2];105.462,[320-2][408-2];85.7438
[149-2][320-2];154.239,[32-2][320-2];129.988,[320-2][488-2];114.379,[320-2][376-2];113.932,[121-2][320-2];106.851,[245-2][320-2];105.462,[139-2][320-2];87.7774
[149-2][320-2];154.239,[32-2][320-2];129.988,[320-2][488-2];114.379,[320-2][376-2];113.932,[121-2][320-2];106.851,[245-2][320-2];105.462,[320-2][468-2];96.4426
[149-2][320-2];154.239,[32-2][320-2];129.988,[320-2][488-2];114.379,[320-2][376-2];113.932,[121-2][320-2];106.851,[245-2][320-2];105.462,[43-2][320-2];89.0843
[149-2][320-2];154.239,[32-2][320-2];129.988,[320-2][488-2];114.379,[320-2][376-2];113.932,[121-2][320-2];106.851,[245-2][320-2];105.462,[139-2][320-2];87.7774
[149-2][320-2];154.239,[32-2][320-2];129.988,[320-2][488-2];114.379,[320-2][376-2];113.932,[121-2][320-2];106.851,[245-2][320-2];105.462,[168-2][320-2];85.7337
[149-2][320-2];154.239,[32-2][320-2];129.988,[320-2][488-2];114.379,[320-2][376-2];113.932,[121-2][320-2];106.851,[245-2][320-2];105.462,[159-2][320-2];73.3541
